sample_id,outer_resonator_width,middle_resonator_width,adjacent_coupling_gap,cross_coupling_gap,feed_offset
sample_0273,12.25,23.0,0.44999999999999996,1.9000000000000001,4.6499999999999995
sample_0274,12.25,23.0,0.44999999999999996,1.9500000000000002,4.75
sample_0275,12.25,23.05,0.6,1.8,4.5
sample_0276,12.25,23.15,0.49999999999999994,1.8,4.699999999999999
sample_0277,12.25,23.2,0.4,1.9500000000000002,4.75
sample_0278,12.25,23.2,0.49999999999999994,1.9500000000000002,4.6
sample_0279,12.25,23.2,0.6,1.9500000000000002,4.699999999999999
sample_0280,12.25,23.25,0.4,1.85,4.5
sample_0281,12.25,23.25,0.44999999999999996,1.85,4.699999999999999
sample_0282,12.25,23.25,0.49999999999999994,1.75,4.5
sample_0283,12.25,23.25,0.6,1.75,4.5
sample_0284,12.25,23.3,0.4,1.8,4.55
sample_0285,12.25,23.3,0.4,1.85,4.6499999999999995
sample_0286,12.25,23.3,0.44999999999999996,1.9000000000000001,4.6499999999999995
sample_0287,12.25,23.3,0.49999999999999994,1.75,4.6499999999999995
sample_0288,12.25,23.3,0.49999999999999994,1.9000000000000001,4.6
sample_0289,12.3,22.8,0.5499999999999999,1.9500000000000002,4.6499999999999995
sample_0290,12.3,22.8,0.6,1.9000000000000001,4.5
sample_0291,12.3,22.85,0.49999999999999994,1.75,4.6499999999999995
sample_0292,12.3,22.85,0.49999999999999994,1.8,4.6499999999999995
sample_0293,12.3,22.85,0.5499999999999999,1.9000000000000001,4.5
sample_0294,12.3,22.9,0.49999999999999994,1.85,4.6
sample_0295,12.3,22.9,0.5499999999999999,1.8,4.55
sample_0296,12.3,22.9,0.5499999999999999,1.9500000000000002,4.6
sample_0297,12.3,22.9,0.6,1.7,4.449999999999999
sample_0298,12.3,22.9,0.6,1.75,4.6499999999999995
sample_0299,12.3,22.95,0.44999999999999996,1.85,4.6
sample_0300,12.3,23.0,0.44999999999999996,1.8,4.6
sample_0301,12.3,23.0,0.49999999999999994,1.7,4.449999999999999
sample_0302,12.3,23.0,0.49999999999999994,1.8,4.6499999999999995
sample_0303,12.3,23.0,0.49999999999999994,1.85,4.6
sample_0304,12.3,23.0,0.5499999999999999,1.9000000000000001,4.6
sample_0305,12.3,23.0,0.6,1.75,4.6
sample_0306,12.3,23.05,0.44999999999999996,1.8,4.699999999999999
sample_0307,12.3,23.05,0.49999999999999994,1.7,4.699999999999999
sample_0308,12.3,23.05,0.5499999999999999,1.9000000000000001,4.75
sample_0309,12.3,23.05,0.6,1.9000000000000001,4.6
sample_0310,12.3,23.05,0.6,1.9500000000000002,4.55
sample_0311,12.3,23.1,0.4,1.75,4.55
sample_0312,12.3,23.1,0.4,1.9500000000000002,4.449999999999999
sample_0313,12.3,23.1,0.44999999999999996,1.9500000000000002,4.55
sample_0314,12.3,23.1,0.5499999999999999,1.8,4.5
sample_0315,12.3,23.15,0.4,1.9000000000000001,4.699999999999999
sample_0316,12.3,23.15,0.44999999999999996,1.7,4.449999999999999
sample_0317,12.3,23.2,0.49999999999999994,1.85,4.6
sample_0318,12.3,23.25,0.6,1.9500000000000002,4.6
sample_0319,12.3,23.3,0.44999999999999996,1.75,4.6
sample_0320,12.3,23.3,0.49999999999999994,1.7,4.75
